pair	model	n_rows	n_runs	n_talks	logodds_int	logodds_se	logodds_lo	logodds_hi	odds_ratio	z	prob_did_pt	prob_did_lo	prob_did_hi	prob_dT_pt	prob_dT_lo	prob_dT_hi	prob_dC_pt	prob_dC_lo	prob_dC_hi	var_talk	var_talk_cg	var_run	var_run_cg	converged	singular	minutes
A_vs_B	specified	456	6	38	-0.0307910490699686	0.0115548724823871	-0.0534385991354472	-0.00814349900448994	0.969678167064027	-2.66476753567839	-0.796380720590556	-1.3142361968829	-0.278839381923294	1.72696160373859	-0.564587623384183	4.05089634723799	2.52334232432915	0.146580519969486	4.89539840070648	0.0131260143728214	0.00673440275093831	0.00403866618441903		ok	FALSE	0
A_vs_B	+ (1|run:classgroup)	456	6	38	-0.0306076831814755	0.0606691239012932	-0.14951916602801	0.0883037996650591	0.969855989265448	-0.50450181596941	-0.79201634360947	-3.55527689230997	1.84714621785707	1.73249197509182	-0.198726070201924	3.60841766061783	2.52450831870129	0.596515129039001	4.46149708395481	0.0129385647998846	0.00686484319738354	0	0.00266050569636705	boundary (singular) fit: see help('isSingular')	TRUE	0.01
A2_vs_B2	specified	456	6	38	-0.147274557257639	0.011600572128465	-0.170011678629431	-0.124537435885848	0.863056986324644	-12.6954563642825	-3.50414744531402	-4.02357184552718	-2.98319441791341	0.258809487838724	-0.967442107071582	1.4704844781321	3.76295693315274	2.56282268203408	4.94967123192201	0.017444314576878	0.00997504788742827	0.000973855565884176		ok	FALSE	0
A2_vs_B2	+ (1|run:classgroup)	456	6	38	-0.148481067816329	0.0469806551893853	-0.240563151987524	-0.0563989836451335	0.862016326867443	-3.16047247995546	-3.53097920648513	-5.64043780883973	-1.42478607878935	0.231312108576498	-1.82997823972752	2.25625823098139	3.76229131506163	1.71818071196267	5.92176436653575	0.017504212887697	0.0101305439563866	0.00151927403296364	0.00155432889030935	ok	FALSE	0.01
