vowel	n	nuc_share	mean_dlog
a	172150	0.211977926227127	-0.146953232284129
aː	4686	0.517285531370038	-0.165286575903631
e	88815	0.129493891797557	-0.108370225251302
eː	18954	0.123667827371531	-0.0785507346849549
i	96244	0.111082249283072	0.0446967363011195
iː	3055	0.52962356792144	-0.00378859119923344
o	140316	0.13019185267539	-0.114425549480491
oː	30987	0.26749927388905	-0.128605054659696
ɯ	52130	0.161787838097065	0.00166254729280047
ɯː	13276	0.22167821633022	-0.0952317957863077
