seed	offset	n_rows	n_full	converged	singular	minutes	var_speaker	var_file	var_phone	var_resid	wald_int_chisq	wald_int_df	b_onset_ref	b_rate
1	1	439218	2472980	ok	FALSE	0.8	0.00187592608136641	0.000701171737450242	0.137408428339593	0.762451240338769	26935.8746430076	18	0.10381890010261	-0.0201824571110293
1	5	439218	2472980	ok	FALSE	0.8	0.0010272954080751	0.000368165751843176	0.0937275495312813	0.3456870246282	27422.2470843218	18	0.061705998247858	-0.0148362239197512
2	1	439218	2472980	ok	FALSE	1.2	0.00185416543334897	0.000755411228411268	0.159733790134079	0.762795307796224	26440.8578136687	18	0.111335633903631	-0.0205459013607423
2	5	439218	2472980	ok	FALSE	1.2	0.000971728196015822	0.00040639757536954	0.113343811444568	0.34577319502421	27012.6035035622	18	0.0666211913335787	-0.0150828080020496
42	1	439218	2472980	ok	FALSE	1.1	0.00186337756916516	0.000778538831558792	0.151262436949128	0.762179032054512	26516.5615744919	18	0.0942455939315725	-0.0196378679134133
42	5	439218	2472980	ok	FALSE	0.7	0.00100870536355245	0.000381937807222822	0.105460426388215	0.346314637336007	27036.3370261794	18	0.0541530592963608	-0.0144339350144334
