term	Estimate	Std. Error	t value	seed	offset
(Intercept)	2.74405637268243	0.150806121568269	18.1959216518953	2	5
phone_classaffricate	-0.221895140799315	0.281788605251239	-0.78745249688672	2	5
phone_classapproximant	0.404310046236386	0.281770053891884	1.43489359728597	2	5
phone_classdevoiced_fused	0.469752152045101	0.157279584865198	2.98673316341544	2	5
phone_classdevoiced_fused_geminate	0.633787113642593	0.160643754814721	3.94529569091295	2	5
phone_classdevoiced_high	0.711753496418915	0.294175873388398	2.41948290395383	2	5
phone_classdevoiced_nonhigh	0.594368468819473	0.0739075304525324	8.04205559542014	2	5
phone_classflap	0.434674841495218	0.28193539252526	1.54175336981246	2	5
phone_classfricative	0.0065101141494841	0.193799218262706	0.0335920557773316	2	5
phone_classgeminate_affricate	-0.221419215621195	0.250577173327001	-0.88363681608079	2	5
phone_classgeminate_no_closure	1.30339939056814	0.193600864269967	6.73240481380608	2	5
phone_classgeminate_stop	0.0900779929327304	0.187555397153874	0.480274064621179	2	5
phone_classmoraic_nasal	0.259008099341544	0.368871982207188	0.702162570851108	2	5
phone_classmoraic_nasal_fused	0.532932656959621	0.207563740916051	2.56756143730886	2	5
phone_classnasal	0.418280542859261	0.229280022102383	1.82432180101798	2	5
phone_classother_rare	0.892787099849411	0.188013491337023	4.74852678656475	2	5
phone_classstop	0.158936633707229	0.179967206882407	0.883142192738927	2	5
phone_classvocalfry_fused	0.931894730197554	0.0220449926787828	42.2723991691073	2	5
phone_classvowel_long	-0.0626201636935294	0.188294191854309	-0.332565561777822	2	5
boundary_typeonset	0.0666211913335787	0.00588133829437554	11.327556416418	2	5
stylesps	0.0206399273310377	0.00823197014154723	2.50728889635627	2	5
local_speech_rate	-0.0150828080020496	0.000374492793548568	-40.2752957116478	2	5
phone_classaffricate:boundary_typeonset	0.183688251939213	0.00922542904380399	19.911079589581	2	5
phone_classapproximant:boundary_typeonset	-0.293069968675343	0.00831713385370912	-35.2368945637017	2	5
phone_classdevoiced_fused:boundary_typeonset	0.171954823877361	0.00831863038844773	20.671049902176	2	5
phone_classdevoiced_fused_geminate:boundary_typeonset	1.02017841303724	0.0341528518929478	29.8709582507191	2	5
phone_classdevoiced_high:boundary_typeonset	-0.0517263115171051	0.0629589627668748	-0.821587733404026	2	5
phone_classdevoiced_nonhigh:boundary_typeonset	0.0607460021943415	0.0798689704087582	0.760570743349413	2	5
phone_classflap:boundary_typeonset	-0.566357712476446	0.00831722456221273	-68.0945558509449	2	5
phone_classfricative:boundary_typeonset	0.166463617597861	0.00831770190326988	20.0131742557906	2	5
phone_classgeminate_affricate:boundary_typeonset	0.279202448549588	0.037043272633276	7.53719714004912	2	5
phone_classgeminate_no_closure:boundary_typeonset	-0.728832461334839	0.0697895327519123	-10.4432918891389	2	5
phone_classgeminate_stop:boundary_typeonset	0.355855222558321	0.00872793845274289	40.7719674565863	2	5
phone_classmoraic_nasal:boundary_typeonset	-0.11381521999832	0.00831695352810579	-13.6847247749672	2	5
phone_classmoraic_nasal_fused:boundary_typeonset	-0.224299832445964	0.011819659491989	-18.9768438420742	2	5
phone_classnasal:boundary_typeonset	-0.477115934439	0.00831758926170138	-57.3622860455368	2	5
phone_classother_rare:boundary_typeonset	0.564619313487285	0.0670535588417834	8.42042276711271	2	5
phone_classstop:boundary_typeonset	0.13372590046271	0.00831835516419609	16.076002746107	2	5
phone_classvocalfry_fused:boundary_typeonset	0.942519040995682	0.02693409873463	34.9935243901018	2	5
phone_classvowel_long:boundary_typeonset	0.061207680819408	0.0083173934346217	7.35899790006651	2	5
phone_classaffricate:stylesps	-0.0161120968672973	0.00929697341890764	-1.73304753507517	2	5
phone_classapproximant:stylesps	0.00404293633643355	0.00832852708689317	0.485432333262868	2	5
phone_classdevoiced_fused:stylesps	-0.0293839586792534	0.00838046324046751	-3.50624516045419	2	5
phone_classdevoiced_fused_geminate:stylesps	-0.0291785148277732	0.0358527461941596	-0.81384323169438	2	5
phone_classdevoiced_high:stylesps	0.03327431100135	0.0630808451243829	0.527486766160784	2	5
phone_classdevoiced_nonhigh:stylesps	0.205781079807406	0.0811680930715355	2.53524595712808	2	5
phone_classflap:stylesps	0.00507672687836419	0.00832936975891498	0.609497119866787	2	5
phone_classfricative:stylesps	0.0441268660386996	0.00833834666340377	5.29204023531047	2	5
phone_classgeminate_affricate:stylesps	0.0949492821940512	0.0387814743533013	2.44831543352525	2	5
phone_classgeminate_no_closure:stylesps	-0.13187610711956	0.0699155645445736	-1.88621958470326	2	5
phone_classgeminate_stop:stylesps	0.0192355579648831	0.00898384050735247	2.1411286129958	2	5
phone_classmoraic_nasal:stylesps	0.0473463008837262	0.00833142025075927	5.68286071986482	2	5
phone_classmoraic_nasal_fused:stylesps	-0.00290922725168343	0.0119428457213358	-0.243595816237174	2	5
phone_classnasal:stylesps	0.0259867025249659	0.00834724238466742	3.11320809045864	2	5
phone_classother_rare:stylesps	-0.165485225693835	0.103305022611482	-1.60190880859884	2	5
phone_classstop:stylesps	0.0212582980293701	0.00833828655902529	2.54948038531493	2	5
phone_classvocalfry_fused:stylesps	0.00121169022485129	0.0277284131325793	0.0436985058992654	2	5
phone_classvowel_long:stylesps	0.0633357245921494	0.0084336440189459	7.50988830567995	2	5
