phone_class	onset_minus_offset	se	ci_lo	ci_hi	n_onset	n_offset	seed	offset
vowel_short	0.0541530592963608	0.00588610921717995	0.0426162852306881	0.0656898333620335	20000	20000	42	5
affricate	0.250309443272787	0.00711319246882491	0.23636758603389	0.264251300511684	13689	13689	42	5
approximant	-0.227077696005406	0.00588538295199409	-0.238613046591315	-0.215542345419498	20000	20000	42	5
devoiced_fused	0.245413455229812	0.00588749519672099	0.233873964644239	0.256952945815385	20000	20000	42	5
devoiced_fused_geminate	1.08679960437082	0.0336689689112736	1.02080842530472	1.15279078343692	611	611	42	5
devoiced_high	0.0148948798164799	0.0627327155963377	-0.108061242752342	0.137851002385302	176	176	42	5
devoiced_nonhigh	0.127367193527917	0.0797144718061883	-0.0288731712122117	0.283607558268046	109	109	42	5
flap	-0.497337316952121	0.00588540083585941	-0.508872702590405	-0.485801931313837	20000	20000	42	5
fricative	0.238178255114817	0.00588561716061704	0.226642445480008	0.249714064749627	20000	20000	42	5
geminate_affricate	0.345823639883171	0.0366020281083986	0.274083664790709	0.417563614975632	517	517	42	5
geminate_no_closure	-0.66221127000126	0.0695956993020601	-0.798618840633298	-0.525803699369223	143	143	42	5
geminate_stop	0.422476413892167	0.00645382752722433	0.409826911938807	0.435125915845527	16629	16629	42	5
moraic_nasal	-0.0426439386368135	0.0058852320398032	-0.0541789934348278	-0.0311088838387992	20000	20000	42	5
moraic_nasal_fused	-0.157678641112411	0.0102605461608867	-0.177789311587749	-0.137567970637073	6579	6579	42	5
nasal	-0.411053579597533	0.00588611403023624	-0.422590363096796	-0.39951679609827	20000	20000	42	5
other_rare	0.631240504820863	0.066847408069617	0.500219585004414	0.762261424637313	155	155	42	5
stop	0.200170045025055	0.00588649858417243	0.188632507800077	0.211707582250033	20000	20000	42	5
vocalfry_fused	1.00914023232926	0.0263047018104118	0.957583016780853	1.06069744787767	1001	1001	42	5
vowel_long	0.12969674271629	0.00588576548472188	0.118160642366235	0.141232843066345	20000	20000	42	5
