phone_class	onset_minus_offset	se	ci_lo	ci_hi	n_onset	n_offset	seed	offset
vowel_short	0.10381890010261	0.00873396234644284	0.0867003339035818	0.120937466301638	20000	20000	1	1
affricate	0.363271977707389	0.0105544394741202	0.342585276338113	0.383958679076664	13689	13689	1	1
approximant	-0.319412172759631	0.00873253652192895	-0.336527944342612	-0.30229640117665	20000	20000	1	1
devoiced_fused	0.258387513923744	0.00873567156246984	0.241265597661303	0.275509430186184	20000	20000	1	1
devoiced_fused_geminate	1.26241183348075	0.0499574693202104	1.16449519361314	1.36032847334836	611	611	1	1
devoiced_high	0.0382097031427046	0.0930817846853684	-0.144230594840617	0.220650001126027	176	176	1	1
devoiced_nonhigh	0.133002965507491	0.11827903878283	-0.0988239505068563	0.364829881521838	109	109	1	1
flap	-0.779245604777015	0.00873270818274404	-0.796361712815193	-0.762129496738837	20000	20000	1	1
fricative	0.328786108183114	0.00873398026449607	0.311667506864702	0.345904709501526	20000	20000	1	1
geminate_affricate	0.516178185196107	0.0543094949269605	0.409731575139264	0.622624795252949	517	517	1	1
geminate_no_closure	-0.839135808445591	0.103264968459937	-1.04153514662707	-0.636736470264115	143	143	1	1
geminate_stop	0.636259928249155	0.00957608448119961	0.617490802666004	0.655029053832306	16629	16629	1	1
moraic_nasal	-0.0703912347363417	0.00873246224853189	-0.0875068607434642	-0.0532756087292192	20000	20000	1	1
moraic_nasal_fused	-0.295789159427016	0.0152244317725294	-0.325629045701174	-0.265949273152858	6579	6579	1	1
nasal	-0.666580416642926	0.00873357041247757	-0.683698214651382	-0.64946261863447	20000	20000	1	1
other_rare	0.726375891454016	0.0991870985587352	0.531969178278895	0.920782604629137	155	155	1	1
stop	0.288796169325293	0.00873449803839588	0.271676553170037	0.305915785480549	20000	20000	1	1
vocalfry_fused	1.14568884179966	0.0390304893842745	1.06918908260648	1.22218860099283	1001	1001	1	1
vowel_long	0.205407062451012	0.00873311007031293	0.188290166713199	0.222523958188826	20000	20000	1	1
