phone_class	onset_minus_offset	se	ci_lo	ci_hi	n_onset	n_offset	seed	offset
vowel_short	0.061705998247858	0.00588096962709819	0.0501792977787456	0.0732326987169705	20000	20000	1	5
affricate	0.250309443272784	0.00710674406328083	0.236380224908754	0.264238661636814	13689	13689	1	5
approximant	-0.230700041092308	0.00587998905571033	-0.242224819641501	-0.219175262543116	20000	20000	1	5
devoiced_fused	0.234647108631195	0.00588227445752573	0.223117850694445	0.246176366567946	20000	20000	1	5
devoiced_fused_geminate	1.08679960437082	0.0336384465871916	1.02086824905992	1.15273095968171	611	611	1	5
devoiced_high	0.014894879816483	0.0626758457741279	-0.107949777900808	0.137739537533774	176	176	1	5
devoiced_nonhigh	0.127367193527918	0.0796422073139521	-0.0287315328074285	0.283465919863264	109	109	1	5
flap	-0.502699387966017	0.00588010743660849	-0.51422439854177	-0.491174377390265	20000	20000	1	5
fricative	0.23834090233799	0.00588096846263057	0.226814204151234	0.249867600524746	20000	20000	1	5
geminate_affricate	0.345823639883171	0.0365688468438661	0.274148700069193	0.417498579697148	517	517	1	5
geminate_no_closure	-0.662211270001255	0.0695326078989819	-0.798495181483259	-0.52592735851925	143	143	1	5
geminate_stop	0.42247641389206	0.00644797686349079	0.409838379239618	0.435114448544502	16629	16629	1	5
moraic_nasal	-0.0482988590351889	0.00587993977023463	-0.0598235409848488	-0.0367741770855291	20000	20000	1	5
moraic_nasal_fused	-0.157678641112402	0.0102512445479978	-0.177771080426478	-0.137586201798327	6579	6579	1	5
nasal	-0.416460055024253	0.00588069820144095	-0.427986223499078	-0.404933886549429	20000	20000	1	5
other_rare	0.631240504820859	0.0667868081071259	0.500338360930893	0.762142648710826	155	155	1	5
stop	0.206650296204917	0.00588133723192287	0.195122875230348	0.218177717179486	20000	20000	1	5
vocalfry_fused	1.00914023232926	0.0262808555014959	0.957629755546329	1.06065070911219	1001	1001	1	5
vowel_long	0.13187398151114	0.005880381094138	0.12034843456663	0.14339952845565	20000	20000	1	5
