phone_class	onset_minus_offset	se	ci_lo	ci_hi	n_onset	n_offset	seed	offset
vowel_short	0.0942455939315725	0.00873212638016845	0.0771306262264423	0.111360561636703	20000	20000	42	1
affricate	0.363271977707395	0.0105525552471805	0.342588969422922	0.383954985991869	13689	13689	42	1
approximant	-0.312222095580092	0.00873106730259192	-0.329334987493172	-0.295109203667012	20000	20000	42	1
devoiced_fused	0.269570842455122	0.00873388665997923	0.252452424601562	0.286689260308681	20000	20000	42	1
devoiced_fused_geminate	1.26241183348075	0.0499485506836723	1.16451267414075	1.36031099282075	611	611	42	1
devoiced_high	0.0382097031427103	0.0930651672982745	-0.144198024761908	0.220617431047328	176	176	42	1
devoiced_nonhigh	0.13300296550749	0.118257923066375	-0.0987825637026053	0.364788494717585	109	109	42	1
flap	-0.771907228596623	0.00873108951331527	-0.789020164042721	-0.754794293150525	20000	20000	42	1
fricative	0.32807278253954	0.00873140956233138	0.310959219797371	0.34518634528171	20000	20000	42	1
geminate_affricate	0.516178185196109	0.0542997993468518	0.409750578476279	0.622605791915938	517	517	42	1
geminate_no_closure	-0.839135808445593	0.103246533124173	-1.04149901336897	-0.636772603522213	143	143	42	1
geminate_stop	0.636259928249113	0.00957437491468017	0.61749415341634	0.655025703081886	16629	16629	42	1
moraic_nasal	-0.0632559962799585	0.00873084400953396	-0.0803684505386451	-0.046143542021272	20000	20000	42	1
moraic_nasal_fused	-0.295789159427021	0.0152217138371471	-0.325623718547829	-0.265954600306212	6579	6579	42	1
nasal	-0.656016538163633	0.00873213904891913	-0.673131530699514	-0.638901545627751	20000	20000	42	1
other_rare	0.726375891454019	0.0991693912230084	0.532003884656922	0.920747898251115	155	155	42	1
stop	0.27918089637865	0.00873269786723009	0.262064808558879	0.296296984198421	20000	20000	42	1
vocalfry_fused	1.14568884179965	0.0390235214823079	1.06920273969433	1.22217494390498	1001	1001	42	1
vowel_long	0.207277389589537	0.00873162655964836	0.190163401532626	0.224391377646448	20000	20000	42	1
