phone_class	onset_minus_offset	se	ci_lo	ci_hi	n_onset	n_offset	seed	offset
vowel_short	0.111335633903631	0.00873540422081025	0.0942142416308429	0.128457026176419	20000	20000	2	1
affricate	0.363271977707396	0.0105568206293796	0.342580609273812	0.38396334614098	13689	13689	2	1
approximant	-0.313171301153803	0.00873484061864212	-0.330291588766342	-0.296051013541265	20000	20000	2	1
devoiced_fused	0.263872256410336	0.00873779920325699	0.246746169971952	0.28099834284872	20000	20000	2	1
devoiced_fused_geminate	1.26241183348075	0.0499687400742007	1.16447310293532	1.36035056402618	611	611	2	1
devoiced_high	0.0382097031427057	0.0931027845860926	-0.144271754646036	0.220691160931447	176	176	2	1
devoiced_nonhigh	0.133002965507491	0.118305723360061	-0.0988762522782277	0.364882183293211	109	109	2	1
flap	-0.773884749459917	0.00873480752924015	-0.791004972217228	-0.756764526702606	20000	20000	2	1
fricative	0.320863751959958	0.00873573083668998	0.303741719520046	0.337985784399871	20000	20000	2	1
geminate_affricate	0.516178185196105	0.0543217475283228	0.409707560040593	0.622648810351618	517	517	2	1
geminate_no_closure	-0.839135808445588	0.103288265758042	-1.04158080933135	-0.636690807559827	143	143	2	1
geminate_stop	0.63625992824936	0.00957824491273959	0.61748656822039	0.655033288278329	16629	16629	2	1
moraic_nasal	-0.0703409895965806	0.00873451925888089	-0.0874606473439872	-0.0532213318491741	20000	20000	2	1
moraic_nasal_fused	-0.295789159426994	0.0152278665106674	-0.325635777787902	-0.265942541066086	6579	6579	2	1
nasal	-0.655227158686004	0.00873574673706214	-0.672349222290646	-0.638105095081362	20000	20000	2	1
other_rare	0.726375891454021	0.0992094758609098	0.531925318766638	0.920826464141404	155	155	2	1
stop	0.275198647741123	0.00873719645112677	0.258073742696915	0.292323552785332	20000	20000	2	1
vocalfry_fused	1.14568884179965	0.0390392949352752	1.06917182372651	1.22220585987279	1001	1001	2	1
vowel_long	0.20343257098962	0.00873513019336532	0.186311715810624	0.220553426168616	20000	20000	2	1
