term	Estimate	Std. Error	t value	seed	offset
(Intercept)	2.73922191368308	0.137183633141768	19.9675562670973	1	5
phone_classaffricate	-0.219296731592779	0.256267870579907	-0.855732445493593	1	5
phone_classapproximant	0.406986068667162	0.25624756253996	1.5882534242787	1	5
phone_classdevoiced_fused	0.458743743270837	0.143334109389074	3.20052041503671	1	5
phone_classdevoiced_fused_geminate	0.617861129239021	0.147013521399912	4.202750354903	1	5
phone_classdevoiced_high	0.711176703388338	0.269678170495072	2.63713114814881	1	5
phone_classdevoiced_nonhigh	0.604342146599572	0.0738982005398889	8.17803603043567	1	5
phone_classflap	0.44563350929624	0.256428268031383	1.73784861051942	1	5
phone_classfricative	0.00280100179275234	0.176773478467829	0.015845147230398	1	5
phone_classgeminate_affricate	-0.218116056287898	0.228702349435738	-0.953711480559957	1	5
phone_classgeminate_no_closure	1.31730455869407	0.18053360852242	7.2967275704262	1	5
phone_classgeminate_stop	0.0853238523075211	0.170913617895192	0.499222082817552	1	5
phone_classmoraic_nasal	0.263352622537776	0.335450236570218	0.785072102587859	1	5
phone_classmoraic_nasal_fused	0.530499569596236	0.189830180585518	2.79460077401784	1	5
phone_classnasal	0.423252843141869	0.207794478395901	2.03688205003921	1	5
phone_classother_rare	0.892574024407668	0.175112057080158	5.09715915220555	1	5
phone_classstop	0.106022750332555	0.164386043137947	0.644961995000906	1	5
phone_classvocalfry_fused	0.936266991935921	0.0220382205365299	42.4837835878806	1	5
phone_classvowel_long	-0.0497912613209148	0.173306655195765	-0.287301496094718	1	5
boundary_typeonset	0.061705998247858	0.00588096962709819	10.4924871510185	1	5
stylesps	0.0249285824026384	0.00822526678740674	3.03073238193383	1	5
local_speech_rate	-0.0148362239197512	0.000375266923650608	-39.5351228278366	1	5
phone_classaffricate:boundary_typeonset	0.188603445024926	0.00922451163671166	20.4459002766415	1	5
phone_classapproximant:boundary_typeonset	-0.292406039340166	0.00831624889514696	-35.1608090410573	1	5
phone_classdevoiced_fused:boundary_typeonset	0.172941110383337	0.00831791989880022	20.7913892520511	1	5
phone_classdevoiced_fused_geminate:boundary_typeonset	1.02509360612296	0.0341486587226233	30.0185613276765	1	5
phone_classdevoiced_high:boundary_typeonset	-0.046811118431375	0.06295115127825	-0.743610203798585	1	5
phone_classdevoiced_nonhigh:boundary_typeonset	0.0656611952800597	0.0798590445071401	0.822213635102897	1	5
phone_classflap:boundary_typeonset	-0.564405386213875	0.00831626812477918	-67.8676273714854	1	5
phone_classfricative:boundary_typeonset	0.176634904090132	0.00831717528366079	21.2373670225676	1	5
phone_classgeminate_affricate:boundary_typeonset	0.284117641635313	0.0370387143843437	7.67082892475906	1	5
phone_classgeminate_no_closure:boundary_typeonset	-0.723917268249113	0.0697808667543505	-10.3741512812892	1	5
phone_classgeminate_stop:boundary_typeonset	0.360770415644202	0.00872709627464736	41.3391126086528	1	5
phone_classmoraic_nasal:boundary_typeonset	-0.110004857283047	0.00831625755392537	-13.2276876431182	1	5
phone_classmoraic_nasal_fused:boundary_typeonset	-0.21938463936026	0.0118183678457605	-18.5630234414271	1	5
phone_classnasal:boundary_typeonset	-0.478166053272111	0.00831671049968361	-57.4946131995699	1	5
phone_classother_rare:boundary_typeonset	0.569534506573001	0.0670452350349591	8.49477977481966	1	5
phone_classstop:boundary_typeonset	0.144944297957059	0.00831717530039861	17.4271062857257	1	5
phone_classvocalfry_fused:boundary_typeonset	0.947434234081403	0.026930821926658	35.1802940386149	1	5
phone_classvowel_long:boundary_typeonset	0.070167983263282	0.00831650802602785	8.437192995387	1	5
phone_classaffricate:stylesps	-0.0209612815360265	0.00929478072177722	-2.25516686874767	1	5
phone_classapproximant:stylesps	-0.00128717110491739	0.00832794732274742	-0.154560428282434	1	5
phone_classdevoiced_fused:stylesps	-0.0445308946539571	0.00837573074539917	-5.31665785441087	1	5
phone_classdevoiced_fused_geminate:stylesps	-0.0398883309307253	0.0358498809631462	-1.11264890870155	1	5
phone_classdevoiced_high:stylesps	0.0320714371067457	0.0630734261972755	0.508477801831083	1	5
phone_classdevoiced_nonhigh:stylesps	0.198567002714948	0.0811568936563481	2.4467053107745	1	5
phone_classflap:stylesps	-0.000265657205910896	0.00832676811314881	-0.0319039995231038	1	5
phone_classfricative:stylesps	0.0298654188401974	0.00833752485175849	3.58204855412196	1	5
phone_classgeminate_affricate:stylesps	0.0893803332088735	0.038768904927908	2.30546447920257	1	5
phone_classgeminate_no_closure:stylesps	-0.136349363074718	0.0699069035772706	-1.95044203215218	1	5
phone_classgeminate_stop:stylesps	0.0130911880176864	0.00898352827946057	1.45724348056179	1	5
phone_classmoraic_nasal:stylesps	0.0416141424711336	0.00833090517900519	4.99515257669789	1	5
phone_classmoraic_nasal_fused:stylesps	-0.00666558636489829	0.0119401480344976	-0.558249893187256	1	5
phone_classnasal:stylesps	0.0208241580898392	0.00834460979213253	2.49552209253363	1	5
phone_classother_rare:stylesps	-0.161265121437107	0.102530006741215	-1.57285780585326	1	5
phone_classstop:stylesps	0.00571800669363963	0.00833734038897382	0.685831023668139	1	5
phone_classvocalfry_fused:stylesps	0.00143059798191845	0.0277235475065821	0.0516022699324031	1	5
phone_classvowel_long:stylesps	0.0615514658605216	0.00842385824776988	7.306802186138	1	5
